ower supply: 12V 4A Adaptor

Motor driver: L298N

Timer1 for PIN 9, 10: PWM frequency = 31250 / 1024 = 30 Hz

pwm,	intr,	RPM,	speed

0,	0,	0,	0.00

10,	-2,	0,	0.00

20,	22,	3,	-91.34

30,	540,	98,	822.06

40,	962,	174,	1095.65

50,	1070,	194,	1186.95

60,	1138,	206,	1278.26

70,	1187,	215,	1370.10

80,	1222,	222,	1278.26

90,	1247,	226,	1457.41

100,	1267,	230,	1368.48

110,	1288,	233,	1461.44

120,	1302,	236,	1460.87

130,	1316,	238,	1551.56

140,	1328,	241,	1459.71

150,	1338,	242,	1459.71

160,	1348,	244,	1552.78

170,	1355,	246,	1459.71

180,	1363,	247,	1552.17

190,	1371,	248,	1552.78

200,	1377,	250,	1550.94

210,	1385,	251,	1549.72

220,	1391,	252,	1641.53

230,	1397,	253,	1642.18

240,	1402,	254,	1549.72

250,	1408,	255,	1552.17

260,	1413,	256,	1638.94

pwm,	intr,	RPM,	speed

260,	1413,	256,	1552.17

250,	1407,	255,	1552.78

240,	1403,	254,	1639.59

230,	1398,	253,	1552.78

220,	1392,	252,	1641.53

210,	1387,	251,	1638.29

200,	1378,	250,	1552.17

190,	1370,	248,	1551.56

180,	1363,	247,	1547.89

170,	1357,	246,	1552.17

160,	1349,	244,	1461.44

150,	1339,	243,	1550.33

140,	1329,	240,	1461.44

130,	1319,	239,	1459.14

120,	1305,	236,	1459.71

110,	1292,	234,	1459.71

100,	1273,	231,	1369.02

90,	1251,	227,	1457.98

80,	1226,	222,	1368.48

70,	1193,	216,	1277.25

60,	1151,	208,	1278.76

50,	1093,	198,	1186.02

40,	1002,	181,	1093.49

30,	870,	157,	912.32

20,	657,	119,	730.43

10,	264,	47,	91.20

0,	0,	0,	0.00

Timer1 for PIN 9, 10: PWM frequency = 31250 / 256 = 122 Hz

pwm,	intr,	RPM,	speed

0,	0,	0,	0.00

10,	0,	0,	0.00

20,	0,	0,	0.00

30,	0,	0,	0.00

40,	0,	0,	0.00

50,	0,	0,	0.00

60,	0,	0,	0.00

