pwm,intr,RPM,speed

0,	0,	0,	0.00

10,	0,	0,	0.00

20,	0,	0,	0.00

30,	0,	0,	0.00

40,	0,	0,	0.00

50,	0,	0,	0.00

60,	0,	0,	0.00

70,	0,	0,	0.00

80,	0,	0,	0.00

90,	0,	0,	0.00

100,	1047,	190,	1277.75

110,	1162,	210,	1278.76

120,	1203,	218,	1368.48

130,	1228,	222,	1367.40

140,	1252,	227,	1457.41

150,	1271,	230,	1458.56

160,	1289,	233,	1457.41

170,	1304,	236,	1460.87

180,	1318,	238,	1459.14

190,	1331,	241,	1549.11

200,	1342,	243,	1459.71

210,	1352,	245,	1550.33

220,	1362,	247,	1550.94

230,	1370,	249,	1551.56

240,	1378,	249,	1641.53

250,	1385,	251,	1640.23

260,	1414,	256,	1641.53
