ower supply: Xiaomi to USB 12 V

Motor driver: L298N

Timer1 for PIN 9, 10: PWM frequency = 31250 / 1 = 31250 Hz

start...

(4)

Timer1 for PIN 9, 10: PWM frequency = 31250 / 1024 = 30 Hz

pwm,	intr,	RPM,	speed

0,	0,	0,	0.00

10,	-1,	0,	0.00

20,	2,	0,	-91.20

30,	23,	4,	-91.99

40,	216,	39,	547.82

50,	871,	158,	1096.08

60,	1044,	189,	1187.42

70,	1127,	204,	1276.74

80,	1171,	212,	1369.02

90,	1199,	217,	1366.86

100,	1227,	222,	1368.48

110,	1248,	226,	1368.48

120,	1265,	229,	1461.44

130,	1276,	231,	1369.56

140,	1282,	232,	1459.71

150,	1293,	234,	1459.14

160,	1301,	236,	1460.29

170,	1311,	237,	1548.50

180,	1318,	239,	1459.14

190,	1324,	240,	1549.72

200,	1332,	241,	1549.11

210,	1338,	242,	1549.11

220,	1345,	244,	1550.94

230,	1349,	244,	1550.94

240,	1355,	246,	1459.71

250,	1360,	246,	1549.72

260,	1365,	247,	1551.56

pwm,	intr,	RPM,	speed

260,	1365,	247,	1551.56

250,	1362,	247,	1637.65

240,	1356,	246,	1550.33

230,	1349,	244,	1550.33

220,	1343,	243,	1550.33

210,	1338,	242,	1549.72

200,	1333,	241,	1548.50

190,	1327,	240,	1550.33

180,	1319,	239,	1460.87

170,	1313,	238,	1552.17

160,	1304,	236,	1461.44

150,	1295,	234,	1461.44

140,	1287,	233,	1459.14

130,	1275,	231,	1457.98

120,	1264,	229,	1369.02

110,	1247,	226,	1458.56

100,	1229,	222,	1456.84

90,	1206,	218,	1370.10

80,	1177,	213,	1369.56

70,	1132,	205,	1278.26

60,	1080,	195,	1275.74

50,	1002,	181,	1184.15

40,	873,	158,	1003.55

30,	691,	125,	729.57

20,	455,	82,	456.16

10,	74,	13,	-91.99

0,	0,	0,	0.00

Timer1 for PIN 9, 10: PWM frequency = 31250 / 256 = 122 Hz

pwm,	intr,	RPM,	speed

0,	0,	0,	0.00

10,	0,	0,	0.00

20,	0,	0,	0.00

30,	-1,	0,	0.00

