pwm,intr,RPM,speed

260,	1370,	248,	1549.72

250,	1345,	243,	1552.17

240,	1336,	242,	1552.17

230,	1327,	240,	1459.71

220,	1317,	238,	1460.29

210,	1307,	237,	1550.33

200,	1296,	235,	1548.50

190,	1284,	233,	1461.44

180,	1271,	230,	1459.71

170,	1256,	228,	1460.29

160,	1240,	225,	1369.02

150,	1220,	221,	1367.94

140,	1196,	216,	1367.94

130,	1175,	213,	1369.02

120,	1145,	207,	1278.76

110,	1110,	201,	1276.74

100,	1071,	194,	1278.26

90,	1018,	184,	1185.55

80,	953,	173,	1093.92

70,	877,	159,	1004.35

60,	779,	141,	913.40

50,	656,	119,	730.72

40,	491,	89,	547.82

30,	282,	51,	273.91

20,	4,	0,	0.00

10,	0,	0,	0.00

0,	0,	0,	0.00
