pwm,intr,RPM,speed

260,	1365,	247,	1551.56

250,	1340,	243,	1549.72

240,	1336,	242,	1460.87

230,	1328,	241,	1549.11

220,	1317,	238,	1552.78

210,	1305,	236,	1459.71

200,	1295,	235,	1550.33

190,	1284,	232,	1459.71

180,	1275,	231,	1460.29

170,	1263,	229,	1459.71

160,	1246,	225,	1367.40

150,	1225,	222,	1370.10

140,	1202,	218,	1369.02

130,	1175,	213,	1278.26

120,	1145,	207,	1277.75

110,	1113,	202,	1186.95

100,	1073,	194,	1274.23

90,	1025,	185,	1094.35

80,	966,	175,	1096.08

70,	884,	160,	1003.55

60,	795,	144,	821.74

50,	663,	120,	730.72

40,	497,	90,	547.82

30,	287,	52,	273.91

20,	5,	0,	0.00

10,	0,	0,	0.00

0,	0,	0,	0.00
