pwm,intr,RPM,speed

260,	1662,	301,	1912.85

250,	1651,	299,	1826.80

240,	1647,	298,	1824.64

230,	1643,	298,	1912.85

220,	1639,	297,	1915.87

210,	1632,	296,	1826.08

200,	1626,	295,	1826.08

190,	1620,	294,	1822.48

180,	1612,	292,	1823.92

170,	1602,	290,	1824.64

160,	1588,	287,	1826.80

150,	1589,	288,	1822.48

140,	1577,	286,	1823.92

130,	1564,	283,	1732.72

120,	1549,	280,	1735.46

110,	1531,	277,	1822.48

100,	1508,	273,	1735.46

90,	1485,	269,	1733.41

80,	1449,	262,	1643.47

70,	1400,	253,	1552.78

60,	1346,	244,	1547.89

50,	1261,	228,	1456.26

40,	1149,	208,	1277.25

30,	954,	173,	1094.78

20,	685,	124,	729.57

10,	270,	49,	273.70

0,	1,	0,	0.00
