pwm,intr,RPM,speed

0,	0,	0,	0.00

10,	0,	0,	0.00

20,	0,	0,	0.00

30,	-99,	-17,	-91.23

40,	936,	169,	1186.02

50,	1176,	213,	1366.32

60,	1258,	228,	1457.41

70,	1322,	240,	1459.14

80,	1367,	248,	1550.94

90,	1391,	252,	1552.17

100,	1369,	248,	1550.94

110,	1372,	249,	1640.23

120,	1387,	251,	1643.47

130,	1400,	253,	1552.17

140,	1461,	265,	1733.41

150,	1471,	267,	1642.18

160,	1462,	265,	1642.18

170,	1481,	268,	1642.18

180,	1497,	271,	1731.36

190,	1492,	270,	1642.18

200,	1512,	274,	1642.18

210,	1534,	278,	1733.41

220,	1513,	274,	1735.46

230,	1540,	279,	1735.46

240,	1564,	283,	1732.72

250,	1565,	284,	1821.04

260,	1580,	286,	1823.92
