pwm_freq,pwm,intr,RPM

31250,	0,	0,	0

31250,	10,	312,	56

31250,	20,	317,	57

31250,	30,	372,	67

31250,	40,	430,	77

31250,	50,	486,	87

31250,	60,	550,	99

31250,	70,	607,	109

31250,	80,	670,	121

31250,	90,	734,	132

31250,	100,	799,	144

31250,	110,	863,	155

31250,	120,	932,	168

31250,	130,	1003,	181

31250,	140,	1074,	194

31250,	150,	1137,	205

31250,	160,	1199,	216

31250,	170,	1259,	227

31250,	180,	1316,	237

31250,	190,	1369,	247

31250,	200,	1420,	256

31250,	210,	1472,	265

31250,	220,	1511,	272

31250,	230,	1535,	277

31250,	240,	1551,	280

31250,	250,	1550,	279

31250,	260,	1546,	278
